Datetime,Open,High,Low,Close,Adj Close,Volume
2024-10-18 18:19:00+00:00,68735.25,68735.25,68735.25,68735.25,68735.25,0
2024-10-18 18:20:00+00:00,68712.84375,68712.84375,68712.84375,68712.84375,68712.84375,0
2024-10-18 18:21:00+00:00,68726.7421875,68726.7421875,68726.7421875,68726.7421875,68726.7421875,0
2024-10-18 18:22:00+00:00,68744.3515625,68744.3515625,68744.3515625,68744.3515625,68744.3515625,0
2024-10-18 18:23:00+00:00,68768.9453125,68768.9453125,68768.9453125,68768.9453125,68768.9453125,0
2024-10-18 18:24:00+00:00,68763.1953125,68763.1953125,68763.1953125,68763.1953125,68763.1953125,864256
2024-10-18 18:25:00+00:00,68777.0234375,68777.0234375,68777.0234375,68777.0234375,68777.0234375,0
2024-10-18 18:26:00+00:00,68796.15625,68796.15625,68796.15625,68796.15625,68796.15625,0
2024-10-18 18:27:00+00:00,68850.296875,68850.296875,68850.296875,68850.296875,68850.296875,0
2024-10-18 18:28:00+00:00,68870.546875,68870.546875,68870.546875,68870.546875,68870.546875,0
2024-10-18 18:29:00+00:00,68861.75,68861.75,68861.75,68861.75,68861.75,13021184
2024-10-18 18:30:00+00:00,68843.859375,68843.859375,68843.859375,68843.859375,68843.859375,2920448
2024-10-18 18:31:00+00:00,68815.5,68815.5,68815.5,68815.5,68815.5,0
2024-10-18 18:32:00+00:00,68804.03125,68804.03125,68804.03125,68804.03125,68804.03125,0
2024-10-18 18:33:00+00:00,68808.453125,68808.453125,68808.453125,68808.453125,68808.453125,0
2024-10-18 18:34:00+00:00,68864.3671875,68864.3671875,68864.3671875,68864.3671875,68864.3671875,0
2024-10-18 18:35:00+00:00,68868.34375,68868.34375,68868.34375,68868.34375,68868.34375,0
2024-10-18 18:36:00+00:00,68865.53125,68865.53125,68865.53125,68865.53125,68865.53125,1015808
2024-10-18 18:38:00+00:00,68932.2265625,68932.2265625,68932.2265625,68932.2265625,68932.2265625,0
2024-10-18 18:39:00+00:00,68876.109375,68876.109375,68876.109375,68876.109375,68876.109375,20905984
2024-10-18 18:40:00+00:00,68921.4140625,68921.4140625,68921.4140625,68921.4140625,68921.4140625,630784
2024-10-18 18:41:00+00:00,68870.6953125,68870.6953125,68870.6953125,68870.6953125,68870.6953125,13484032
2024-10-18 18:42:00+00:00,68855.9921875,68855.9921875,68855.9921875,68855.9921875,68855.9921875,26398720
2024-10-18 18:43:00+00:00,68891.6171875,68891.6171875,68891.6171875,68891.6171875,68891.6171875,0
2024-10-18 18:44:00+00:00,68913.265625,68913.265625,68913.265625,68913.265625,68913.265625,47087616
2024-10-18 18:45:00+00:00,68936.328125,68936.328125,68936.328125,68936.328125,68936.328125,0
2024-10-18 18:46:00+00:00,68962.640625,68962.640625,68962.640625,68962.640625,68962.640625,11231232
2024-10-18 18:47:00+00:00,68903.1171875,68903.1171875,68903.1171875,68903.1171875,68903.1171875,8478720
2024-10-18 18:48:00+00:00,68912.453125,68912.453125,68912.453125,68912.453125,68912.453125,56942592
2024-10-18 18:49:00+00:00,68937.4921875,68937.4921875,68937.4921875,68937.4921875,68937.4921875,13791232
2024-10-18 18:50:00+00:00,68950.140625,68950.140625,68950.140625,68950.140625,68950.140625,71675904
2024-10-18 18:51:00+00:00,68946.6328125,68946.6328125,68946.6328125,68946.6328125,68946.6328125,0
2024-10-18 18:52:00+00:00,68961.7421875,68961.7421875,68961.7421875,68961.7421875,68961.7421875,9367552
2024-10-18 18:53:00+00:00,68935.2578125,68935.2578125,68935.2578125,68935.2578125,68935.2578125,27672576
2024-10-18 18:54:00+00:00,68922.3203125,68922.3203125,68922.3203125,68922.3203125,68922.3203125,11616256
2024-10-18 18:55:00+00:00,68869.421875,68869.421875,68869.421875,68869.421875,68869.421875,0
2024-10-18 18:56:00+00:00,68854.3984375,68854.3984375,68854.3984375,68854.3984375,68854.3984375,2740224
2024-10-18 18:57:00+00:00,68828.9375,68828.9375,68828.9375,68828.9375,68828.9375,2613248
2024-10-18 18:58:00+00:00,68804.046875,68804.046875,68804.046875,68804.046875,68804.046875,643072
2024-10-18 18:59:00+00:00,68824.34375,68824.34375,68824.34375,68824.34375,68824.34375,1228800
2024-10-18 19:00:00+00:00,68872.796875,68872.796875,68872.796875,68872.796875,68872.796875,4993024
2024-10-18 19:01:00+00:00,68850.4296875,68850.4296875,68850.4296875,68850.4296875,68850.4296875,6393856
2024-10-18 19:02:00+00:00,68829.15625,68829.15625,68829.15625,68829.15625,68829.15625,0
2024-10-18 19:03:00+00:00,68795.5390625,68795.5390625,68795.5390625,68795.5390625,68795.5390625,421888
2024-10-18 19:04:00+00:00,68883.0078125,68883.0078125,68883.0078125,68883.0078125,68883.0078125,0
2024-10-18 19:06:00+00:00,68935.640625,68935.640625,68935.640625,68935.640625,68935.640625,0
2024-10-18 19:07:00+00:00,68953.4609375,68953.4609375,68953.4609375,68953.4609375,68953.4609375,4968448
2024-10-18 19:08:00+00:00,68939.375,68939.375,68939.375,68939.375,68939.375,0
2024-10-18 19:09:00+00:00,68953.25,68953.25,68953.25,68953.25,68953.25,6823936
2024-10-18 19:10:00+00:00,68955.078125,68955.078125,68955.078125,68955.078125,68955.078125,19488768
2024-10-18 19:11:00+00:00,68949.7421875,68949.7421875,68949.7421875,68949.7421875,68949.7421875,20045824
2024-10-18 19:12:00+00:00,68933.46875,68933.46875,68933.46875,68933.46875,68933.46875,1032192
2024-10-18 19:13:00+00:00,68908.984375,68908.984375,68908.984375,68908.984375,68908.984375,204800
2024-10-18 19:14:00+00:00,68852.96875,68852.96875,68852.96875,68852.96875,68852.96875,5890048
2024-10-18 19:15:00+00:00,68860.96875,68860.96875,68860.96875,68860.96875,68860.96875,8450048
